,Model,Subsystem,ReactionRatio
0,WD,Carnitine shuttle (mitochondrial),0.23076923076923078
1,WD,"Transport, mitochondrial",0.4117647058823529
2,WD,Sphingolipid metabolism,0.0
3,WD,Purine metabolism,1.0
4,WD,Tyrosine metabolism,1.0
5,WD,Fructose and Mannose metabolism,1.0
6,WD,Pyruvate metabolism,0.5555555555555556
7,WD,Butanoate metabolism,0.0
8,WD,Biopterin metabolism,0.0
9,WD,"Transport, endoplasmic reticular",0.14285714285714285
10,WD,Miscellaneous,0.36363636363636365
11,WD,"Valine, leucine, and isoleucine metabolism",0.045454545454545456
12,WD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.375
13,WD,Galactose metabolism,0.4
14,WD,Arginine and proline metabolism,0.0
15,WD,Acylglycerides metabolism,1.0
16,WD,Fatty acid desaturation,0.2
17,WD,ROS detoxification,1.0
18,WD,Fatty acid oxidation,0.75
19,WD,Omega-6 fatty acid metabolism,1.0
20,WD,Pool reactions,1.0
21,WD,Starch and sucrose metabolism,1.0
22,WD,"Transport, lysosomal",0.0
23,WD,Urea cycle,0.3333333333333333
24,WD,"Phenylalanine, tyrosine and tryptophan metabolism",0.0
25,WD,Pantothenate and CoA biosynthesis,0.0
26,WD,Folate metabolism,0.3333333333333333
27,WD,Fatty acid elongation,0.0
28,WD,Tetrahydrobiopterin metabolism,0.0
29,WD,Steroid metabolism,0.0
30,WD,Bile acid metabolism,0.11764705882352941
31,WD,Nucleotide metabolism,0.5333333333333333
32,WD,Fatty acid biosynthesis,0.4
33,WD,Beta-oxidation (mitochondrial),0.0
34,WD,Glycerolipid metabolism,1.0
35,WD,Tryptophan metabolism,0.14285714285714285
36,WD,Glycolysis / Gluconeogenesis,0.75
37,WD,Oxidative phosphorylation,0.5
38,WD,"Transport, peroxisomal",1.0
39,WD,Pyrimidine catabolism,0.8181818181818182
40,WD,Glycerophospholipid metabolism,0.5714285714285714
41,WD,Glycosphingolipid metabolism,0.0
42,WD,Propanoate metabolism,0.6
43,WD,Artificial reactions,1.0
44,WD,Carnitine shuttle (cytosolic),0.25
45,WD,"Glycine, serine, alanine, and threonine metabolism",0.7142857142857143
46,WD,Vitamin A metabolism,0.6666666666666666
47,WD,Vitamin B metabolism,0.5
48,WD,Cholesterol metabolism,1.0
49,WD,Lysine metabolism,0.0
50,WD,Sulfur metabolism,0.0
51,WD,Exchange reactions,0.2608695652173913
52,WD,"Transport, extracellular",0.42857142857142855
53,WD,Amino sugar and nucleotide sugar metabolism,0.16666666666666666
54,WD,Omega-3 fatty acid metabolism,1.0
55,WD,NAD metabolism,0.4
56,WD,Cysteine and methionine metabolism,0.16666666666666666
57,WD,Inositol phosphate metabolism,0.0
58,WD,"Alanine, aspartate and glutamate metabolism",0.6
59,WD,Histidine metabolism,0.0
60,WD,Pentose phosphate pathway,0.5833333333333334
61,CD,Carnitine shuttle (mitochondrial),0.25
62,CD,"Transport, mitochondrial",0.6842105263157895
63,CD,Purine metabolism,1.0
64,CD,Fructose and Mannose metabolism,0.0
65,CD,Pyruvate metabolism,0.625
66,CD,Miscellaneous,0.375
67,CD,Galactose metabolism,0.25
68,CD,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.4
69,CD,"Valine, leucine, and isoleucine metabolism",0.5714285714285714
70,CD,Arginine and proline metabolism,0.0
71,CD,Fatty acid desaturation,0.0
72,CD,ROS detoxification,1.0
73,CD,Fatty acid oxidation,1.0
74,CD,Starch and sucrose metabolism,1.0
75,CD,Urea cycle,1.0
76,CD,"Phenylalanine, tyrosine and tryptophan metabolism",1.0
77,CD,Pantothenate and CoA biosynthesis,0.0
78,CD,Fatty acid elongation,0.0
79,CD,Bile acid metabolism,0.0
80,CD,Nucleotide metabolism,0.7272727272727273
81,CD,Tryptophan metabolism,0.25
82,CD,Glycolysis / Gluconeogenesis,0.35294117647058826
83,CD,Oxidative phosphorylation,0.5
84,CD,"Transport, peroxisomal",0.0
85,CD,Glutathione metabolism,1.0
86,CD,Pyrimidine catabolism,1.0
87,CD,Glycerophospholipid metabolism,0.3333333333333333
88,CD,Propanoate metabolism,0.5
89,CD,Carnitine shuttle (cytosolic),0.25
90,CD,"Glycine, serine, alanine, and threonine metabolism",1.0
91,CD,Vitamin A metabolism,1.0
92,CD,Cholesterol metabolism,0.6666666666666666
93,CD,Exchange reactions,0.2857142857142857
94,CD,"Transport, extracellular",0.4375
95,CD,"Alanine, aspartate and glutamate metabolism",0.6666666666666666
96,CD,NAD metabolism,1.0
97,CD,Pentose phosphate pathway,1.0
